A,,B,,C,
T,V,T,V,T,V
22.15514,141.5851,22.15514,479.9378,22.15514,129.3747
22.20273,160.9423,22.20273,497.1146,22.20273,130.9218
22.25032,200.782,22.25032,511.7072,22.25032,134.3563
22.2979,209.9916,22.2979,519.925,22.2979,128.3103
22.34549,204.609,22.34549,489.6422,22.34549,129.4069
22.39308,198.9241,22.39308,450.6775,22.39308,134.8759
22.44067,189.5781,22.44067,445.3833,22.44067,133.8046
22.48826,180.5302,22.48826,461.2306,22.48826,131.3011
22.53585,169.9058,22.53585,452.6818,22.53585,123.3471
22.58344,168.8804,22.58344,454.8656,22.58344,142.9333
22.63102,164.4487,22.63102,479.9802,22.63102,157.5724
22.67861,177.7525,22.67861,493.5686,22.67861,142.954
22.7262,178.3854,22.7262,461.7199,22.7262,130.4966
22.77379,189.8579,22.77379,415.5544,22.77379,129.6598
22.82138,195.8678,22.82138,369.1188,22.82138,131.8092
22.86897,203.7581,22.86897,352.0396,22.86897,153.1241
22.91655,207.1392,22.91655,355.2164,22.91655,161.692
22.96414,202.0506,22.96414,371.8373,22.96414,168.1609
23.01173,196.7468,23.01173,407.7666,23.01173,165.5517
23.05932,193.3572,23.05932,445.826,23.05932,136.3494
23.10691,187.4599,23.10691,451.7638,23.10691,137.0506
23.1545,196.2335,23.1545,431.3253,23.1545,130.2092
23.20208,199.9958,23.20208,399.9859,23.20208,136.4092
23.24967,209.3038,23.24967,403.4102,23.24967,158.0161
23.29726,212.6751,23.29726,404.2801,23.29726,144.3264
23.34485,208.9212,23.34485,411.471,23.34485,128.0529
23.39244,209.6793,23.39244,403.1613,23.39244,113.5563
23.44003,183.0872,23.44003,390.8699,23.44003,102.5701
23.48761,186.4951,23.48761,405.5757,23.48761,96.89195
23.5352,213.564,23.5352,424.1556,23.5352,115.0552
23.58279,246.5471,23.58279,459.8105,23.58279,140.9724
23.63039,241.602,23.63039,448.1471,23.63039,155.4161
23.67798,191.8087,23.67798,455.785,23.67798,154.0713
23.72557,203.1406,23.72557,466.8883,23.72557,139.1793
23.77316,227.5879,23.77316,433.7369,23.77316,138.1172
23.82076,264.7075,23.82076,397.9703,23.82076,146.9655
23.86835,270.9128,23.86835,388.5262,23.86835,162.7241
23.91594,265.8945,23.91594,397.9547,23.91594,179.1586
23.96353,232.7708,23.96353,413.2631,23.96353,194.8851
24.01112,183.1772,24.01112,413.8529,24.01112,181.2276
24.05872,131.0745,24.05872,401.2815,24.05872,167.823
24.10631,119.0084,24.10631,379.9731,24.10631,168.9195
24.1539,129.128,24.1539,375.9533,24.1539,159.2598
24.20149,161.7159,24.20149,370.8091,24.20149,157.4345
24.24908,174.7342,24.24908,376.3027,24.24908,160.3471
24.29668,191.9536,24.29668,381.3805,24.29668,189.0046
24.34427,185.0563,24.34427,377.5304,24.34427,201.3218
24.39186,166.3868,24.39186,348.5799,24.39186,196.0437
24.43945,145.699,24.43945,336.6422,24.43945,160.6414
24.48705,138.0056,24.48705,355.338,24.48705,134.9356
24.53464,149.1364,24.53464,401.8472,24.53464,106.8046
24.58223,152.2996,24.58223,448.6747,24.58223,106.3954
24.62982,140.0408,24.62982,509.1584,24.62982,112.7287
24.67741,148.879,24.67741,518.5219,24.67741,122.846
24.72501,172.2982,24.72501,541.9858,24.72501,131.1287
24.7726,175.0028,24.7726,528.8034,24.7726,128.2138
24.82019,164.346,24.82019,502.7808,24.82019,130.5011
24.86778,154.948,24.86778,478.4441,24.86778,135.331
24.91537,156.0422,24.91537,481.86,24.91537,123.7701
24.96297,175.173,24.96297,462.8189,24.96297,122.9356
25.01057,205.8467,25.01057,430.4229,25.01057,124.6552
25.05816,222.6104,25.05816,384.9986,25.05816,109.7655
25.10576,215.2447,25.10576,351.0071,25.10576,121.3471
25.15335,186.2574,25.15335,350.5516,25.15335,127.7356
25.20095,166.0056,25.20095,366.9279,25.20095,151.5908
25.24855,160.9831,25.24855,397.5403,25.24855,143.6368
25.29614,191.0127,25.29614,445.2362,25.29614,141.4483
25.34374,213.865,25.34374,446.8189,25.34374,131.623
25.39133,222.4866,25.39133,427.6054,25.39133,137.7218
25.43893,186.0872,25.43893,423.5177,25.43893,135.8253
25.48653,156.7004,25.48653,402.5842,25.48653,123.6874
25.53412,136.3122,25.53412,357.9887,25.53412,114.9333
25.58172,129.8467,25.58172,350.7426,25.58172,89.9931
25.62931,128.1196,25.62931,333.2291,25.62931,88.6046
25.67691,128.7961,25.67691,316.5417,25.67691,88.83218
25.72451,145.5752,25.72451,301.8699,25.72451,97.06667
25.77211,169.2518,25.77211,325.1414,25.77211,95.38161
25.81971,186.0197,25.81971,375.2772,25.81971,92.8023
25.86731,224.052,25.86731,407.6478,25.86731,103.7402
25.91491,246.948,25.91491,450.2419,25.91491,98.94942
25.96251,239.8706,25.96251,461.3267,25.96251,103.7287
26.01011,208.9719,26.01011,484.1259,26.01011,110.6713
26.05771,208.8495,26.05771,454.0056,26.05771,136.3747
26.10531,227.6821,26.10531,433.1711,26.10531,139.7333
26.15291,228.4051,26.15291,396.338,26.15291,143.9379
26.20051,234.7004,26.20051,375.2984,26.20051,129.9724
26.24811,231.4965,26.24811,359.1457,26.24811,123.5494
26.29571,230.4571,26.29571,369.1627,26.29571,106.5057
26.34331,220.2925,26.34331,372.5375,26.34331,96.05977
26.39091,218.3994,26.39091,375.0948,26.39091,105.9471
26.43851,213.699,26.43851,366.1132,26.43851,113.3931
26.48612,206.7004,26.48612,377.9929,26.48612,124.7885
26.53372,206.2208,26.53372,392.2419,26.53372,145.9425
26.58133,193.7117,26.58133,401.7341,26.58133,148.8529
26.62893,178.1294,26.62893,423.14,26.62893,120.1149
26.67653,164.5401,26.67653,437.3296,26.67653,96.75402
26.72414,171.3783,26.72414,415.9307,26.72414,99.06207
26.77174,185.7693,26.77174,398.3536,26.77174,95.66897
26.81934,209.5373,26.81934,394.8359,26.81934,95.92644
26.86695,220.0183,26.86695,405.3451,26.86695,98.30804
26.91455,211.6906,26.91455,450.8586,26.91455,128.6851
26.96216,189.8326,26.96216,461.553,26.96216,135.5885
27.00977,181.4332,27.00977,408.4215,27.00977,118.3218
27.05738,184.0563,27.05738,345.0735,27.05738,89.43678
27.10498,190.4796,27.10498,335.5389,27.10498,69.31035
27.15259,214.1983,27.15259,343.8897,27.15259,61.86666
27.2002,233.9184,27.2002,396.0651,27.2002,74.03908
27.24781,198.3024,27.24781,412.1924,27.24781,93.37471
27.29541,149.5668,27.29541,367.232,27.29541,95.44827
27.34302,121.564,27.34302,323.8444,27.34302,91.56551
27.39063,119.2799,27.39063,305.3635,27.39063,82.74253
27.43824,131.879,27.43824,303.7426,27.43824,72.54713
27.48586,154.4402,27.48586,305.0071,27.48586,82.45058
27.53347,198.1533,27.53347,336.9434,27.53347,92.1977
27.58108,208.0661,27.58108,348.9137,27.58108,125.2161
27.62869,194.3643,27.62869,367.9788,27.62869,125.846
27.6763,182.6456,27.6763,367.8204,27.6763,130.9218
27.72391,179.4388,27.72391,346.9406,27.72391,118.7678
27.77152,206.6217,27.77152,340.4201,27.77152,103.4644
27.81914,254.0239,27.81914,350.703,27.81914,90.55632
27.86675,268.3235,27.86675,346.5544,27.86675,82.48736
27.91437,241.1842,27.91437,322.2037,27.91437,74.78621
27.96198,218.0394,27.96198,290.8331,27.96198,88.46896
28.0096,186.3882,28.0096,268.4526,28.0096,76.9954
28.05721,161.9058,28.05721,246.2475,28.05721,62.88736
28.10483,153.8692,28.10483,242.3197,28.10483,70.89655
28.15244,160.7342,28.15244,260.9689,28.15244,71.54253
28.20006,177.2616,28.20006,296.1075,28.20006,64.78621
28.24768,180.7229,28.24768,311.0891,28.24768,67.14253
28.2953,169.128,28.2953,314.8119,28.2953,80.15402
28.34292,151.3165,28.34292,309.0792,28.34292,96.07586
28.39054,146.3826,28.39054,311.7369,28.39054,110.5218
28.43816,155.4515,28.43816,316.4413,28.43816,108.8
28.48577,177.7454,28.48577,309.826,28.48577,105.3517
28.53339,200.1899,28.53339,301.4625,28.53339,116.7839
28.58102,200.5795,28.58102,284.5714,28.58102,113.6529
28.62864,174.5724,28.62864,263.9236,28.62864,95.3885
28.67626,145.8425,28.67626,239.034,28.67626,79.1931
28.72388,131.7722,28.72388,242.9194,28.72388,72.51724
28.77151,128.8284,28.77151,257.4781,28.77151,86.43218
28.81913,121.308,28.81913,305.9844,28.81913,95.09655
28.86675,117.6329,28.86675,345.5149,28.86675,95.77242
28.91438,117.6301,28.91438,375.0735,28.91438,88.88966
28.96201,114.8172,28.96201,395.3649,28.96201,89.95172
29.00963,125.3713,29.00963,418.8119,29.00963,83.73563
29.05726,134.8565,29.05726,445.0509,29.05726,82.90804
29.10489,132.045,29.10489,437.1103,29.10489,71.91264
29.15251,117.256,29.15251,387.5969,29.15251,63.7977
29.20014,101.9367,29.20014,353.4102,29.20014,70.28735
29.24777,85.37271,29.24777,349.9081,29.24777,60.95402
29.2954,92.01547,29.2954,385.0778,29.2954,63.48506
29.34303,112.0394,29.34303,416.5629,29.34303,62.72414
29.39066,130.8383,29.39066,396.6167,29.39066,74.25517
29.43829,125.052,29.43829,370.7765,29.43829,79.28966
29.48592,112.0942,29.48592,314.6025,29.48592,70.08046
29.53355,94.74121,29.53355,285.2433,29.53355,70.67816
29.58118,92.04079,29.58118,259.7581,29.58118,62.34943
29.62882,101.2349,29.62882,268.1372,29.62882,60.26897
29.67645,117.7933,29.67645,301.6662,29.67645,61.51264
29.72409,132.4979,29.72409,330.3055,29.72409,52.62989
29.77172,132.6526,29.77172,344.8133,29.77172,43.52644
29.81936,151.9775,29.81936,351.7624,29.81936,42.93103
29.86699,152.5668,29.86699,350.976,29.86699,46.87816
29.91463,150.7539,29.91463,357.7341,29.91463,67.04138
29.96227,135.5949,29.96227,353.4512,29.96227,76.26437
30.00991,111.8833,30.00991,348.6945,30.00991,76.0023
30.05754,99.55274,30.05754,345.6973,30.05754,77.05977
30.10518,101.3404,30.10518,360.2051,30.10518,77.03678
30.15282,118.7384,30.15282,370.3677,30.15282,80.22529
30.20047,136.7482,30.20047,364.8755,30.20047,85.06207
30.24811,158.1857,30.24811,350.0693,30.24811,103.9862
30.29575,149.5218,30.29575,343.6379,30.29575,87.56551
30.34339,162.3811,30.34339,334.703,30.34339,82.36781
30.39103,170.2644,30.39103,338.5644,30.39103,91.02069
30.43868,187.1519,30.43868,353.7977,30.43868,108.3035
30.48632,212.27,30.48632,360.5375,30.48632,119.3241
30.53397,202.571,30.53397,350.6209,30.53397,105.7126
30.58162,173.0141,30.58162,317.1513,30.58162,84.66666
30.62926,135.8129,30.62926,304.5771,30.62926,106.5563
30.67691,123.8847,30.67691,303.1216,30.67691,143.1839
30.72456,114.9902,30.72456,295.512,30.72456,180.4506
30.77221,117.9367,30.77221,286.7341,30.77221,174.8965
30.81986,125.6357,30.81986,268.6718,30.81986,152.8805
30.86751,151.5598,30.86751,257.5262,30.86751,141.9034
30.91516,166.5527,30.91516,250.8967,30.91516,126.8414
30.96281,174.5429,30.96281,253.4908,30.96281,126.6023
31.01046,167.7032,31.01046,245.8996,31.01046,129.7195
31.05812,149.0774,31.05812,254.7284,31.05812,122.8345
31.10577,151.5443,31.10577,270.2801,31.10577,102.9494
31.15342,172.9592,31.15342,285.1315,31.15342,88.45517
31.20108,196.5682,31.20108,308.2899,31.20108,103.0897
31.24874,188.6329,31.24874,299.3112,31.24874,91.42529
31.29639,172.9142,31.29639,295.7284,31.29639,99.46437
31.34405,152.481,31.34405,288.1386,31.34405,88.02528
31.39171,134.4065,31.39171,288.9024,31.39171,77.10115
31.43937,131.3136,31.43937,296.0552,31.43937,93.8092
31.48703,145.5176,31.48703,313.4286,31.48703,90.8023
31.53469,155.6709,31.53469,314.2093,31.53469,100.6345
31.58235,144.8819,31.58235,304.396,31.58235,93.37931
31.63001,139.0127,31.63001,296.7468,31.63001,82.81839
31.67768,148.3474,31.67768,280.8982,31.67768,60.70345
31.72534,154.9016,31.72534,277.6747,31.72534,47.10345
31.77301,168.0084,31.77301,263.6379,31.77301,37.86897
31.82067,154.6174,31.82067,264.8373,31.82067,31.21379
31.86834,137.2518,31.86834,276.6747,31.86834,44.69885
31.916,119.3488,31.916,288.9519,31.916,52.13103
31.96367,107.7848,31.96367,290.7638,31.96367,73.07816
32.01134,125.3544,32.01134,280.2687,32.01134,83.16322
32.05901,134.5865,32.05901,320.9703,32.05901,82.70115
32.10668,144.775,32.10668,328.662,32.10668,61.23219
32.15435,161.4191,32.15435,318.7638,32.15435,53.93563
32.20202,169.5921,32.20202,275.8713,32.20202,45.93793
32.24969,181.6231,32.24969,220.0382,32.24969,42.88736
32.29737,174.7159,32.29737,184.4583,32.29737,38.78621
32.34504,204.7708,32.34504,186.2716,32.34504,45.12414
32.39272,211.0549,32.39272,209.1994,32.39272,49.52414
32.4404,199.5077,32.4404,217.604,32.4404,48.65977
32.48807,172.7229,32.48807,245.1697,32.48807,54.17931
32.53575,155.7356,32.53575,266.512,32.53575,49.94483
32.58343,132.1139,32.58343,269.7228,32.58343,48.71954
32.63111,117.3882,32.63111,265.1103,32.63111,71.43678
32.67879,100.1631,32.67879,280.1018,32.67879,73.3885
32.72647,108.8594,32.72647,295.3395,32.72647,70.49426
32.77415,113.3249,32.77415,312.7426,32.77415,68.24598
32.82183,125.3516,32.82183,332.7299,32.82183,61.70345
32.86952,127.0774,32.86952,316.5233,32.86952,69.74943
32.9172,149.1758,32.9172,300.3338,32.9172,66.67126
32.96489,167.3896,32.96489,275.7199,32.96489,69.51724
33.01257,163.7848,33.01257,285.8416,33.01257,61.55862
33.06026,149.0759,33.06026,299.5912,33.06026,55.06437
33.10795,141.6723,33.10795,309.5955,33.10795,50.34023
33.15564,146.5035,33.15564,324.7779,33.15564,57.21839
33.20333,173.0084,33.20333,338.3324,33.20333,60.33104
33.25102,183.0422,33.25102,341.4498,33.25102,63.2069
33.29871,172.8101,33.29871,298.1924,33.29871,56.37241
33.3464,158.4177,33.3464,277.1811,33.3464,65.28046
33.3941,144.2546,33.3941,276.2122,33.3941,75.44138
33.44179,150.3741,33.44179,301.8091,33.44179,97.83448
33.48949,156.0703,33.48949,303.6832,33.48949,110.469
33.53718,151.4023,33.53718,275.4102,33.53718,92.52184
33.58488,131.4318,33.58488,244.7171,33.58488,84.37012
33.63258,96.16596,33.63258,211.2461,33.63258,87.33334
33.68028,72.11674,33.68028,216.7016,33.68028,74.76552
33.72798,70.18143,33.72798,207.6591,33.72798,68.55173
33.77568,86.47117,33.77568,192.5516,33.77568,69.93793
33.82338,92.95499,33.82338,198.7383,33.82338,72.10345
33.87109,87.99297,33.87109,187.9265,33.87109,60.86207
33.91879,68.12658,33.91879,211.454,33.91879,64.81609
33.9665,64.28692,33.9665,218.9236,33.9665,62.49655
34.0142,63.74824,34.0142,219.5163,34.0142,72.35403
34.06191,82.31927,34.06191,237.5092,34.06191,74.03448
34.10962,91.51758,34.10962,264.1938,34.10962,67.61379
34.15733,98.55274,34.15733,295.7101,34.15733,60.1954
34.20504,119.8973,34.20504,281.8373,34.20504,40.89655
34.25275,145.8973,34.25275,269.3819,34.25275,47.68966
34.30046,153.6624,34.30046,279.7666,34.30046,42.70575
34.34817,148.0506,34.34817,305.7199,34.34817,62.17012
34.39589,125.1027,34.39589,309.628,34.39589,57.59311
34.4436,92.12658,34.4436,313.0283,34.4436,64.84827
34.49131,88.37553,34.49131,297.9604,34.49131,56.46437
34.53903,81.11111,34.53903,285.8175,34.53903,56.46437
34.58675,77.6737,34.58675,273.7864,34.58675,54.84827
34.63447,82.25597,34.63447,269.1938,34.63447,53.6046
34.68219,80.48383,34.68219,264.2404,34.68219,49.28965
34.72991,93.36005,34.72991,276.1669,34.72991,66.83218
34.77763,110.8284,34.77763,294.3805,34.77763,96.02988
34.82536,119.9634,34.82536,286.447,34.82536,116.4506
34.87308,131.789,34.87308,269.2504,34.87308,108.4575
34.92081,136.4768,34.92081,245.0113,34.92081,77.17931
34.96853,134.2982,34.96853,225.5827,34.96853,54.74483
35.01626,127.3657,35.01626,242.8953,35.01626,49.41379
35.06399,126.962,35.06399,261.0467,35.06399,51.29425
35.11172,124.083,35.11172,281.0948,35.11172,55.48965
35.15945,119.128,35.15945,297.8656,35.15945,64.64368
35.20718,128.4191,35.20718,294.2263,35.20718,80.54942
35.25491,144.5021,35.25491,278.3013,35.25491,105.3816
35.30265,159.9044,35.30265,254.4102,35.30265,116.4805
35.35038,172.6315,35.35038,226.6549,35.35038,108.9126
35.39812,157.8143,35.39812,208.604,35.39812,94.06896
35.44585,129.5176,35.44585,186.6025,35.44585,77.57471
35.49359,110.2419,35.49359,190.3649,35.49359,62.29655
35.54133,112.9339,35.54133,219.5247,35.54133,58.89655
35.58907,117.1617,35.58907,233.901,35.58907,50.62299
35.63681,143.0281,35.63681,220.0693,35.63681,37.09885
35.68456,160.5696,35.68456,197.5771,35.68456,40.54713
35.7323,173.0928,35.7323,214.2843,35.7323,31.34023
35.78004,147.6695,35.78004,220.2603,35.78004,38.57241
35.82779,139.0984,35.82779,228.4512,35.82779,46.03908
35.87554,122.564,35.87554,229.7723,35.87554,55.62759
35.92329,105.5682,35.92329,241.2631,35.92329,54.84598
35.97104,86.79747,35.97104,257.5502,35.97104,46.11494
36.01879,84.74403,36.01879,257.9378,36.01879,42.52874
36.06654,93.96765,36.06654,218.6322,36.06654,35.11724
36.11429,110.4754,36.11429,203.6464,36.11429,37.71494
36.16204,124.775,36.16204,193.6238,36.16204,45.12414
36.2098,127.5781,36.2098,204.1867,36.2098,40.49655
36.25756,135.5781,36.25756,211.604,36.25756,43.67816
36.30531,150.5457,36.30531,228.2772,36.30531,44.17931
36.35307,162.4473,36.35307,228.2108,36.35307,60.03678
36.40083,149.9986,36.40083,232.181,36.40083,74.52873
36.44859,134.4613,36.44859,227.6832,36.44859,91.88966
36.49636,121.2588,36.49636,245.7426,36.49636,81.6023
36.54412,100.9986,36.54412,264.1315,36.54412,63.23908
36.59188,108.9198,36.59188,269.3593,36.59188,55.82529
36.63965,105.4627,36.63965,283.099,36.63965,54.31494
36.68742,120.0323,36.68742,289.3635,36.68742,43.3977
36.73519,112.6709,36.73519,280.6237,36.73519,59.54253
36.78296,99.68636,36.78296,274.0184,36.78296,58.50115
36.83073,96.24754,36.83073,235.1146,36.83073,62.4046
36.8785,105.1688,36.8785,222.8289,36.8785,75.09655
36.92627,116.3629,36.92627,187.2815,36.92627,88.74023
36.97405,140.3404,36.97405,172.9986,36.97405,98.76552
37.02182,147.3966,37.02182,155.4809,37.02182,95.78851
37.0696,152.8734,37.0696,161.4512,37.0696,95.73333
37.11738,152.052,37.11738,159.7313,37.11738,95.14713
37.16516,140.6596,37.16516,188.8501,37.16516,83.22069
37.21294,128.9311,37.21294,217.884,37.21294,68.88736
37.26072,118.8228,37.26072,241.3635,37.26072,58.68046
37.3085,102.2757,37.3085,237.6054,37.3085,65.82758
37.35629,96.46835,37.35629,222.4243,37.35629,78.17701
37.40407,88.0647,37.40407,205.6945,37.40407,84.5862
37.45186,77.0211,37.45186,169.8458,37.45186,81.67816
37.49965,64.86076,37.49965,140.7878,37.49965,80.68965
37.54744,61.78903,37.54744,123.976,37.54744,79.35172
37.59523,58.72152,37.59523,127.7115,37.59523,85.46667
37.64302,79.09423,37.64302,148.6181,37.64302,76.96092
37.69081,101.2138,37.69081,201.9265,37.69081,69.85287
37.73861,126.6681,37.73861,233.3508,37.73861,49.78391
37.7864,120.2714,37.7864,236.1344,37.7864,40.88276
37.8342,107.2222,37.8342,224.8671,37.8342,45.17241
37.882,106.9367,37.882,212.5474,37.882,46.9954
37.9298,139.4866,37.9298,209.3692,37.9298,57.6115
37.9776,171.7215,37.9776,210.4753,37.9776,46.55402
38.0254,170.8411,38.0254,180.1853,38.0254,43.20919
38.07321,142.5373,38.07321,178.396,38.07321,60.68736
38.12101,124.1069,38.12101,164.8755,38.12101,71.61379
38.16882,122.135,38.16882,177.8854,38.16882,87.43449
38.21663,117.9592,38.21663,205.1429,38.21663,95.13793
38.26444,95.70745,38.26444,247.6987,38.26444,81.92873
38.31225,73.28551,38.31225,248.7935,38.31225,74.78851
38.36006,54.24472,38.36006,230.0325,38.36006,80.83218
38.40788,61.90858,38.40788,226.2178,38.40788,70.9977
38.45569,80.98594,38.45569,222.5233,38.45569,70
38.50351,101.7398,38.50351,250.553,38.50351,62.93103
38.55132,122.9817,38.55132,257.0863,38.55132,52.04827
38.59914,126.9817,38.59914,244.8557,38.59914,48.33793
38.64696,135.0774,38.64696,209.1103,38.64696,42.07586
38.69478,135.4205,38.69478,176.7369,38.69478,38.05977
38.74261,137.4923,38.74261,152.7242,38.74261,48.1954
38.79043,142.6104,38.79043,166.4922,38.79043,46.38621
38.83826,136.1308,38.83826,192.9802,38.83826,62.93103
38.88608,120.0141,38.88608,225.447,38.88608,64.13103
38.93391,102.0858,38.93391,263.3366,38.93391,76.91724
38.98174,97.19972,38.98174,289.4753,38.98174,90.49885
39.02957,102.1238,39.02957,302.0382,39.02957,91.81839
39.0774,108.6835,39.0774,297.4851,39.0774,84.55862
39.12524,112.5963,39.12524,280.0919,39.12524,87.62988
39.17308,104.5373,39.17308,278.4526,39.17308,80.76552
39.22091,100.8158,39.22091,266.6818,39.22091,73.28735
39.26875,99.65682,39.26875,227.0424,39.26875,58.3977
39.31659,95.18706,39.31659,212.9378,39.31659,68.89885
39.36443,81.63713,39.36443,207.5318,39.36443,71.10345
39.41227,73.49226,39.41227,220.4328,39.41227,74.48965
39.46012,67.37975,39.46012,250.7991,39.46012,71.91035
39.50796,74.78481,39.50796,252.9547,39.50796,84.82529
39.55581,77.54993,39.55581,247.6591,39.55581,77.21379
39.60366,96.94374,39.60366,216.4187,39.60366,58.18851
39.65151,115.1617,39.65151,183.1754,39.65151,52.46896
39.69936,145.0984,39.69936,166.0255,39.69936,55.42299
39.74721,149.1181,39.74721,159.198,39.74721,53.54253
39.79506,152.7046,39.79506,163.1952,39.79506,54.69425
39.84292,143.8959,39.84292,169.8628,39.84292,55.82299
39.89078,131.3924,39.89078,160.314,39.89078,65.69655
39.93864,124.4233,39.93864,171.2376,39.93864,64.46896
39.9865,127.4684,39.9865,189.3578,39.9865,71.04597
40.03436,155.2968,40.03436,201.3352,40.03436,51.15862
40.08223,166.9311,40.08223,215.645,40.08223,47.03908
40.13009,174.8172,40.13009,223.2433,40.13009,28.34713
40.17796,179.5527,40.17796,236.181,40.17796,35.29425
40.22583,173.0745,40.22583,242.0085,40.22583,29.31494
40.27369,178.2771,40.27369,248.5474,40.27369,39.57931
40.32157,173.9255,40.32157,266.1669,40.32157,37.10345
40.36944,161.4276,40.36944,274.3112,40.36944,52.11724
40.41732,135.3305,40.41732,272.0354,40.41732,48.28736
40.46519,108.8439,40.46519,273.4003,40.46519,47.85057
40.51307,96.69339,40.51307,259.9081,40.51307,42.31264
40.56095,114.5485,40.56095,226.8289,40.56095,38.01839
40.60883,130.1055,40.60883,221.4073,40.60883,37.76092
40.65671,127.737,40.65671,220.6223,40.65671,45.05287
40.70459,115.8748,40.70459,241.488,40.70459,57.16552
40.75248,103.8692,40.75248,264.1315,40.75248,56.28046
40.80037,107.429,40.80037,265.4073,40.80037,56.98621
40.84826,116.256,40.84826,242.43,40.84826,55.97471
40.89614,131.1786,40.89614,221.2207,40.89614,58.40919
40.94403,152.5134,40.94403,221.976,40.94403,53.12644
40.99192,150.1069,40.99192,233.5785,40.99192,56.31954
41.03982,125.8453,41.03982,240.4328,41.03982,55.66896
41.08772,97.79606,41.08772,264.7468,41.08772,80.51724
41.13562,81.1083,41.13562,266.8529,41.13562,105.1678
41.18351,74.84388,41.18351,259.3621,41.18351,117.7241
41.23141,85.12939,41.23141,224.6747,41.23141,109.5103
41.27932,98.58791,41.27932,202.9335,41.27932,78.26897
41.32722,101.5274,41.32722,173.5304,41.32722,59.08966
41.37513,94.94093,41.37513,178.5912,41.37513,51.04598
41.42303,88.81575,41.42303,205.7327,41.42303,49.9954
41.47094,82.20535,41.47094,252.471,41.47094,55.1931
41.51886,79.11533,41.51886,272.6478,41.51886,50.09655
41.56677,73.86639,41.56677,295.6987,41.56677,50.08506
41.61468,81.18706,41.61468,327.0283,41.61468,47.24598
41.66259,93.00282,41.66259,338.8854,41.66259,50.93563
41.71051,101.2813,41.71051,336.512,41.71051,49.90805
41.75843,94.55836,41.75843,301.6125,41.75843,47.65287
41.80635,107.865,41.80635,258.4328,41.80635,42.01609
41.85427,120.076,41.85427,224.6549,41.85427,48.01149
41.90219,116.4951,41.90219,201.9731,41.90219,51.82069
41.95012,99.24051,41.95012,185.6209,41.95012,46.74942
41.99805,83.9353,41.99805,187.529,41.99805,41.98391
42.04598,77.10126,42.04598,198.4385,42.04598,34.37011
42.09391,74.24191,42.09391,234.1556,42.09391,26.57011
42.14184,78.42194,42.14184,240.0212,42.14184,27.37701
42.18978,69.1097,42.18978,220.1627,42.18978,25.92414
42.23771,65.58931,42.23771,195.0255,42.23771,25.41609
42.28565,63.19409,42.28565,173.1825,42.28565,33.10345
42.33358,62.5429,42.33358,168.5672,42.33358,31.28276
42.38153,58.19691,42.38153,158.4385,42.38153,34.72874
42.42947,66.16174,42.42947,166.0552,42.42947,35.62529
42.47741,73.78903,42.47741,187.5516,42.47741,31.74483
42.52536,81.67792,42.52536,229.7242,42.52536,33.46437
42.57331,83.83966,42.57331,256.8091,42.57331,37.49195
42.62126,88.28973,42.62126,292.0976,42.62126,37.17471
42.66921,91.06751,42.66921,284.6365,42.66921,35.58391
42.71716,109.7736,42.71716,271.8246,42.71716,41.37471
42.76511,123.7736,42.76511,254.4455,42.76511,46.77471
42.81307,128.0984,42.81307,225.2108,42.81307,39.92873
42.86103,130.8453,42.86103,203.3748,42.86103,46.43908
42.90899,123.962,42.90899,178.8741,42.90899,48.8
42.95694,118.1716,42.95694,164.0467,42.95694,48.11724
43.00491,113.6835,43.00491,154.3027,43.00491,51.75632
43.05288,93.99718,43.05288,141.8416,43.05288,45.42299
43.10084,98.83404,43.10084,150.2603,43.10084,64.31035
43.14881,103.5021,43.14881,176.6733,43.14881,72.5862
43.19678,113.9592,43.19678,204.8472,43.19678,67.88506
43.24475,120.9705,43.24475,214.1047,43.24475,67.25517
43.29273,147.1364,43.29273,198.0311,43.29273,60.68276
43.3407,164.0394,43.3407,170.3437,43.3407,58.68046
43.38868,165.8762,43.38868,157.5191,43.38868,48.05287
43.43666,145.6667,43.43666,152.4073,43.43666,32.93103
43.48464,130.2996,43.48464,169.7963,43.48464,30.91724
43.53262,119.2222,43.53262,194.1429,43.53262,31.65517
43.5806,115.2025,43.5806,189.5318,43.5806,39.57471
43.62859,111.4332,43.62859,183.7115,43.62859,36.63678
43.67658,91.55134,43.67658,179.3734,43.67658,30.35632
43.72457,82.65401,43.72457,185.1429,43.72457,24.33103
43.77256,71.82278,43.77256,212.6676,43.77256,28.55402
43.82055,56.31505,43.82055,235.5502,43.82055,28.45287
43.86855,51.71167,43.86855,260.9774,43.86855,39.51264
43.91655,48.20253,43.91655,250.8727,43.91655,69.62069
43.96454,44.11814,43.96454,229.8388,43.96454,98.42069
44.01255,46.79465,44.01255,217.174,44.01255,100.4667
44.06055,69.99156,44.06055,216.2348,44.06055,85.56551
44.10855,87.34036,44.10855,211.9745,44.10855,58.69196
44.15656,93.45288,44.15656,199.2744,44.15656,39.3885
44.20457,101.7764,44.20457,184.0835,44.20457,29.70345
44.25258,101.9634,44.25258,179.2263,44.25258,26.70575
44.30059,88.65964,44.30059,196.2093,44.30059,30.12414
44.34861,76.99156,44.34861,223.5304,44.34861,38.74713
44.39662,84.99438,44.39662,237.4116,44.39662,37.78161
44.44464,86.30099,44.44464,249.0509,44.44464,42.71035
44.49266,97.22363,44.49266,220.9604,44.49266,44.81609
