A,,B,,C,
T,V,T,V,T,V
4.987844,925.7468,4.987844,7486.397,4.987844,1791.285
5.035717,914.0042,5.035717,7327.506,5.035717,1810.078
5.083588,890.353,5.083588,7195.417,5.083588,1862.579
5.131456,846.0942,5.131456,7103.183,5.131456,1888.536
5.179323,808.3812,5.179323,7007.598,5.179323,1860.48
5.22719,796.6723,5.22719,6831.222,5.22719,1768.556
5.275055,806.9634,5.275055,6686.318,5.275055,1621.437
5.322918,777.3854,5.322918,6612.307,5.322918,1507.938
5.370779,732.488,5.370779,6522.163,5.370779,1424.559
5.41864,668.3404,5.41864,6280.331,5.41864,1391.961
5.466499,652.5781,5.466499,6029.324,5.466499,1376.372
5.514357,671.6568,5.514357,5795.199,5.514357,1376.809
5.562212,689.4051,5.562212,5580.817,5.562212,1355.326
5.610065,701.1829,5.610065,5424.376,5.610065,1319.639
5.657919,712.1125,5.657919,5321.024,5.657919,1257.552
5.70577,760.4304,5.70577,5307.686,5.70577,1213.34
5.75362,810.1505,5.75362,5283.837,5.75362,1187.485
5.801468,820.571,5.801468,5224.185,5.801468,1194.961
5.849316,767.5007,5.849316,5150.289,5.849316,1175.407
5.897161,697.519,5.897161,5152.699,5.897161,1149.635
5.945005,663.571,5.945005,5148.685,5.945005,1172.255
5.992847,681.1238,5.992847,5054.43,5.992847,1173.993
6.040689,739.4571,6.040689,4901.609,6.040689,1201.954
6.08853,766.5569,6.08853,4713.444,6.08853,1238.508
6.136368,739.6877,6.136368,4550.76,6.136368,1280.791
6.184204,701.5781,6.184204,4452.253,6.184204,1278.6
6.23204,684.1182,6.23204,4354.383,6.23204,1221.209
6.279875,668.5063,6.279875,4228.664,6.279875,1150.536
6.327707,662.8762,6.327707,4123.107,6.327707,1044.352
6.375538,661.5429,6.375538,4088.382,6.375538,972.9954
6.423368,711.0098,6.423368,4071.931,6.423368,932.269
6.471197,780.9479,6.471197,4050.419,6.471197,898.3104
6.519024,813.1196,6.519024,4078.02,6.519024,899.1265
6.566849,812.64,6.566849,4109.731,6.566849,915.2897
6.614674,796.3699,6.614674,4184.833,6.614674,924.3494
6.662497,789.7103,6.662497,4232.67,6.662497,940.5724
6.710318,767.8059,6.710318,4119.204,6.710318,964.4092
