110	107	1
111	103	1
112	95	1
117	86	1
118	80	1
122	76	1
125	62	1
127	54	1
130	47	2
132	39	2
137	44	2
184	123	2
166	121	1
184	115	1
178	107	1
174	98	1
173	89	1
169	81	1
165	71	1
163	63	1
161	56	1
157	45	2
156	40	2
174	156	2
190	140	2
164	135	1
155	127	1
188	117	1
189	107	1
188	98	1
184	89	1
184	80	1
183	70	1
182	61	1
181	52	1
181	43	1
183	34	1
181	27	2
184	31	2
273	84	2
214	167	1
193	158	1
193	149	1
190	139	1
188	130	1
187	119	1
187	110	1
186	101	1
186	91	1
184	82	1
185	73	1
186	64	1
131	56	2
187	56	2
171	89	2
169	172	1
168	164	1
168	156	1
168	146	1
168	136	1
170	128	0
171	123	0
175	126	0
217	50	1
126	42	1
122	33	1
232	32	2
232	107	2
205	92	2
208	91	1
207	87	1
199	78	1
196	70	1
191	62	1
188	51	1
185	43	1
183	35	1
179	28	2
268	77	2
190	166	1
125	159	1
193	93	1
192	142	1
188	133	0
188	132	0
242	38	1
68	32	1
22	27	1
0	1	2
208	109	2
208	110	1
207	98	1
206	89	1
203	79	1
201	69	1
200	61	1
200	51	1
199	43	1
199	35	2
200	0	2
196	188	2
196	134	1
195	183	1
33	173	1
189	163	1
184	153	1
179	145	0
176	137	0
177	135	0
231	143	1
143	42	1
139	32	1
113	27	2
137	125	2
205	118	2
192	116	2
212	195	1
105	188	1
109	178	1
52	171	1
111	163	1
113	153	1
119	144	1
122	135	1
126	126	1
131	117	1
135	109	1
138	104	0
183	75	0
109	67	1
105	59	1
103	50	1
103	40	0
100	41	0
102	139	0
48	120	0
46	119	0
155	122	1
138	118	1
0	107	1
4	100	2
76	90	2
44	85	2
77	36	1
74	31	1
71	70	1
68	61	1
64	53	1
60	45	1
57	38	2
69	36	2
196	42	2
195	41	2
265	92	2
7	93	1
180	85	1
185	82	1
178	68	1
191	65	1
197	53	1
199	37	1
205	29	1
195	82	2
209	112	2
229	118	1
137	111	1
237	105	1
200	96	1
234	92	1
233	83	1
233	74	1
235	65	1
171	57	1
167	49	1
164	33	1
92	31	2
203	143	2
202	139	1
201	131	1
199	121	1
198	111	1
199	101	1
199	92	1
200	84	1
198	75	1
200	65	1
205	56	1
201	42	2
276	0	2
7	189	1
184	182	1
175	172	1
188	163	1
190	156	1
194	146	1
197	132	1
109	121	1
203	120	2
197	120	2
232	134	1
115	125	1
166	191	1
122	108	1
129	202	1
219	100	1
146	93	1
170	86	1
156	106	2
158	139	2
156	133	2
159	133	1
159	126	1
181	118	1
163	112	1
142	102	1
137	93	1
132	87	1
129	77	1
125	69	2
133	77	2
139	107	2
158	103	2
164	118	1
123	145	1
125	137	1
129	131	1
129	155	1
140	92	1
145	91	2
146	102	2
115	99	1
145	91	1
144	83	1
138	75	1
134	68	1
124	63	2
217	117	2
166	119	2
112	128	1
107	148	1
113	138	1
116	130	1
121	93	1
127	82	1
132	109	1
139	99	1
140	92	1
151	85	1
152	35	1
159	76	1
160	67	1
116	58	1
181	74	1
114	66	0
51	45	0
49	44	0
55	86	0
57	164	0
51	161	0
0	191	0
173	165	1
172	156	1
170	146	1
170	137	1
168	127	1
169	117	1
166	35	1
166	98	1
168	89	1
169	80	1
168	72	1
168	63	1
170	54	1
170	46	0
112	47	0
189	46	0
53	41	0
54	47	0
75	175	0
50	171	1
49	166	1
51	158	1
